name,team,goals
Harry Kane,Tottenham Hotspur,29
Romelu Lukaku,Everton,25
Alexis Sánchez,Arsenal,24
Sergio Agüero,Manchester City,20
Diego Costa,Chelsea,20
Dele Alli,Tottenham Hotspur,18
Zlatan Ibrahimovic,Manchester United,17
Joshua King,AFC Bournemouth,16
Eden Hazard,Chelsea,16
Fernando Llorente,Swansea City,15
Jermain Defoe,Sunderland,15
Christian Benteke,Crystal Palace,15
Son Heung-Min,Tottenham Hotspur,14
Philippe Coutinho,Liverpool,13
Jamie Vardy,Leicester City,13
Sadio Mané,Liverpool,13
Olivier Giroud,Arsenal,12
Roberto Firmino,Liverpool,11
Troy Deeney,Watford,10
Sam Vokes,Burnley,10
Theo Walcott,Arsenal,10
Gylfi Sigurdsson,Swansea City,9
Michail Antonio,West Ham United,9
Andre Gray,Burnley,9
Pedro,Chelsea,9
Álvaro Negredo,Middlesbrough,9
Christian Eriksen,Tottenham Hotspur,8
Mesut Özil,Arsenal,8
Salomón Rondón,West Bromwich Albion,8
Manuel Lanzini,West Ham United,8
Adam Lallana,Liverpool,8
Willian,Chelsea,8
Andy Carroll,West Ham United,7
Gabriel Jesus,Manchester City,7
Robert Snodgrass,West Ham United,7
Islam Slimani,Leicester City,7
Divock Origi,Liverpool,7
James Milner,Liverpool,7
Étienne Capoue,Watford,7
Nathan Redmond,Southampton,7
Junior Stanislas,AFC Bournemouth,7
Wilfried Zaha,Crystal Palace,7
Peter Crouch,Stoke City,7
Raheem Sterling,Manchester City,7
André Ayew,West Ham United,6
Gareth McAuley,West Bromwich Albion,6
Juan Mata,Manchester United,6
Ashley Barnes,Burnley,6
Marcos Alonso,Chelsea,6
Riyad Mahrez,Leicester City,6
